locus_tag,ftype,gene,product,Sample,Plasmid_ID,is_interesting
GCA_0020382851_plasm_00043,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00044,CDS,pdeL,Cyclic di-GMP phosphodiesterase PdeL,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00045,CDS,xerC,Tyrosine recombinase XerC,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00046,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00047,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00048,CDS,ccdB,Toxin CcdB,GCA_002038285.1,plasmid_AB461,True
GCA_0020382851_plasm_00049,CDS,ccdA,Antitoxin CcdA,GCA_002038285.1,plasmid_AB461,True
GCA_0020382851_plasm_00050,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00051,CDS,repB,RepFIB replication protein A,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00052,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00053,CDS,papB,Major pilu subunit operon regulatory protein PapB,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00054,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00055,CDS,fimD,Outer membrane usher protein FimD,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00056,CDS,faeE,Chaperone protein FaeE,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00057,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00058,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00059,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00060,CDS,rcsB,Transcriptional regulatory protein RcsB,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00061,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00062,CDS,ail,Attachment invasion locus protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00063,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00064,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00065,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00066,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00067,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00068,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00069,CDS,finO,Fertility inhibition protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00070,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00071,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00072,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020384451_plasm_00001,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00002,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00003,CDS,umuD,Protein UmuD,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00004,CDS,umuC,Protein UmuC,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00005,CDS,virB,Virulence regulon transcriptional activator VirB,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00006,CDS,parA,Plasmid partition protein A,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00007,CDS,,ISNCY family transposase ISSen7,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00008,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00009,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00010,CDS,smc,Chromosome partition protein Smc,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00011,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00012,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00013,CDS,hin,DNA-invertase hin,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00014,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00015,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00016,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00017,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00018,CDS,papB,Major pilu subunit operon regulatory protein PapB,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00019,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00020,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00021,CDS,eae,Intimin,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00022,CDS,,IS200/IS605 family transposase ISEc46,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00023,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00024,CDS,vsdE,Virulence protein vsdE,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00025,CDS,spvC,MAPK phosphothreonine lyase,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00026,CDS,spvB_1,Mono(ADP-ribosyl)transferase SpvB,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00027,CDS,spvB_2,Mono(ADP-ribosyl)transferase SpvB,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00028,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00029,CDS,mkaB,28.1 kDa virulence protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00030,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00031,CDS,mkaC,Virulence genes transcriptional activator,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00032,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00033,CDS,,IS630 family transposase ISEc33,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00034,CDS,,IS481 family transposase ISAzs36,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00035,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00036,CDS,finO,Fertility inhibition protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00037,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00038,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00039,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00040,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00041,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00042,CDS,ail,Attachment invasion locus protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00043,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00044,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00045,CDS,ccdA,Antitoxin CcdA,GCA_002038445.1,plasmid_AB461,True
GCA_0020384451_plasm_00046,CDS,ccdB,Toxin CcdB,GCA_002038445.1,plasmid_AB461,True
GCA_0020384451_plasm_00047,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00048,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00049,CDS,repB,RepFIB replication protein A,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00050,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00051,CDS,faeE,Chaperone protein FaeE,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00052,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00053,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00054,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00055,CDS,traM,Relaxosome protein TraM,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00056,CDS,traJ_1,Protein TraJ,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00057,CDS,traJ_2,Protein TraJ,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00058,CDS,traY,Relaxosome protein TraY,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00059,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00060,CDS,traA,Pilin,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00061,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00062,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00063,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00064,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00065,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384451_plasm_00066,CDS,,hypothetical protein,GCA_002038445.1,plasmid_AB461,False
GCA_0020384851_plasm_00001,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00002,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00003,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00004,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00005,CDS,traA,Pilin,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00006,CDS,traY,Relaxosome protein TraY,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00007,CDS,traJ,Protein TraJ,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00008,CDS,traM,Relaxosome protein TraM,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00009,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00010,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00011,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00012,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00013,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00014,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00015,CDS,umuD,Protein UmuD,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00016,CDS,umuC,Protein UmuC,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00017,CDS,virB,Virulence regulon transcriptional activator VirB,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00018,CDS,parA,Plasmid partition protein A,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00019,CDS,,ISNCY family transposase ISSen7,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00020,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00021,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00022,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00023,CDS,smc,Chromosome partition protein Smc,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00024,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00025,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00026,CDS,hin,DNA-invertase hin,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00027,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00028,CDS,,IS481 family transposase ISAzs36,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00029,CDS,,IS630 family transposase ISEc33,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00030,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00031,CDS,mkaC,Virulence genes transcriptional activator,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00032,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00033,CDS,mkaB,28.1 kDa virulence protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00034,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00035,CDS,spvB,Mono(ADP-ribosyl)transferase SpvB,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00036,CDS,spvC,MAPK phosphothreonine lyase,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00037,CDS,vsdE,Virulence protein vsdE,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00038,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00039,CDS,,IS200/IS605 family transposase ISEc46,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00040,CDS,,Invasin,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00041,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00042,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00043,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00044,CDS,pdeL,Cyclic di-GMP phosphodiesterase PdeL,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00045,CDS,xerC,Tyrosine recombinase XerC,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00046,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00047,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00048,CDS,ccdB,Toxin CcdB,GCA_002038485.1,plasmid_AB461,True
GCA_0020384851_plasm_00049,CDS,ccdA,Antitoxin CcdA,GCA_002038485.1,plasmid_AB461,True
GCA_0020384851_plasm_00050,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00051,CDS,repB,RepFIB replication protein A,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00052,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00053,CDS,papB,Major pilu subunit operon regulatory protein PapB,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00054,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00055,CDS,fimD,Outer membrane usher protein FimD,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00056,CDS,faeE,Chaperone protein FaeE,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00057,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00058,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00059,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00060,CDS,rcsB,Transcriptional regulatory protein RcsB,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00061,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00062,CDS,ail,Attachment invasion locus protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00063,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00064,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00065,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00066,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00067,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00068,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00069,CDS,finO,Fertility inhibition protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00070,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00071,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00072,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00073,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00074,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00075,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020384851_plasm_00076,CDS,,hypothetical protein,GCA_002038485.1,plasmid_AB461,False
GCA_0020385851_plasm_00001,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00002,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00003,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00004,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00005,CDS,traA,Pilin,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00006,CDS,traY,Relaxosome protein TraY,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00007,CDS,traJ,Protein TraJ,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00008,CDS,traM,Relaxosome protein TraM,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00009,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00010,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00011,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00012,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00013,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00014,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00015,CDS,umuD,Protein UmuD,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00016,CDS,umuC,Protein UmuC,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00017,CDS,virB,Virulence regulon transcriptional activator VirB,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00018,CDS,parA,Plasmid partition protein A,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00019,CDS,,ISNCY family transposase ISSen7,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00020,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00021,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00022,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00023,CDS,smc,Chromosome partition protein Smc,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00024,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00025,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00026,CDS,hin,DNA-invertase hin,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00027,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00028,CDS,,IS481 family transposase ISAzs36,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00029,CDS,,IS630 family transposase ISEc33,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00030,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00031,CDS,mkaC,Virulence genes transcriptional activator,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00032,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00033,CDS,mkaB,28.1 kDa virulence protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00034,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00035,CDS,spvB,Mono(ADP-ribosyl)transferase SpvB,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00036,CDS,spvC,MAPK phosphothreonine lyase,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00037,CDS,vsdE,Virulence protein vsdE,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00038,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00039,CDS,,IS200/IS605 family transposase ISEc46,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00040,CDS,,Invasin,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00041,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00042,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00043,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00044,CDS,pdeL,Cyclic di-GMP phosphodiesterase PdeL,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00045,CDS,xerC,Tyrosine recombinase XerC,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00046,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00047,CDS,,hypothetical protein,GCA_002038585.1,plasmid_AB461,False
GCA_0020385851_plasm_00048,CDS,ccdB,Toxin CcdB,GCA_002038585.1,plasmid_AB461,True
