#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,Food origin,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types,Outbreak
"Salmonella enterica","N29385","""BCW_2162"",""N29385"",""SRS535951""","Enteritidis","PDT000002899.3","2015-12-12T10:21:36Z","USA:OR","ground turkey","environmental/other",,"PDS000030237.1646",1,3,"SAMN02367969","GCA_010634505.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN005928","""BCW_2546"",""CFSAN005928"",""SRS535996""","Enteritidis","PDT000002938.3","2015-12-12T05:21:30Z",,"egg","environmental/other",,"PDS000030259.39",8,37,"SAMN02368119","GCA_010716295.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN005945","""BCW_2563"",""CFSAN005945"",""SRS535999""","Enteritidis","PDT000002941.3","2015-12-12T16:20:59Z",,"ground chicken","environmental/other",,"PDS000032668.1668",23,25,"SAMN02368128","GCA_010422165.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","SAL3374","""BCW_2572"",""CFSAN005954"",""SAL3374"",""SRS536000""","Enteritidis","PDT000002942.3","2015-12-12T05:21:30Z",,"ground chicken","environmental/other",,"PDS000030237.1646",12,10,"SAMN02368133","GCA_011111435.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","SAL3375","""BCW_2573"",""CFSAN005955"",""SAL3375"",""SRS536002""","Enteritidis","PDT000002943.3","2015-12-12T15:21:44Z",,"ground chicken","environmental/other",,,,,"SAMN02368134","GCA_010738295.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","SAL3382","""BCW_2580"",""CFSAN005962"",""SAL3382"",""SRS536006""","Enteritidis","PDT000002947.3","2015-12-12T16:20:59Z",,"ground chicken","environmental/other",,"PDS000030237.1646",1,7,"SAMN02368139","GCA_010536245.1","blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","SAL3383","""BCW_2581"",""CFSAN005963"",""SAL3383"",""SRS536008""","Enteritidis","PDT000002948.3","2015-12-12T16:20:59Z",,"ground chicken","environmental/other",,"PDS000246039.3",14,16,"SAMN02368140","GCA_010647825.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","SAL3349","""BCW_2547"",""CFSAN005929"",""SAL3349"",""SRS538763""","Enteritidis","PDT000003045.3","2015-12-12T14:21:15Z",,"egg","environmental/other",,"PDS000030292.11",9,9,"SAMN02368120","GCA_011111015.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","SAL3350","""BCW_2548"",""CFSAN005930"",""SAL3350"",""SRS538764""","Enteritidis","PDT000003046.3","2015-12-12T15:21:44Z",,"egg","environmental/other",,,,,"SAMN02368121","GCA_010714575.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL_SAL-A00144","""SRS542084"",""WAPHL_SAL-A00144""","Enteritidis","PDT000003097.3","2015-02-11T16:10:25Z","USA","ground chicken","environmental/other","USA:WA","PDS000032668.1668",7,7,"SAMN02182978","GCA_011460935.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL_SAL-A00171","""SRS542048"",""WAPHL_SAL-A00171""","Enteritidis","PDT000003101.3","2015-02-11T16:10:25Z","USA","ground chicken","environmental/other","USA:WA","PDS000083226.1089",1,2,"SAMN02183005","GCA_011459795.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL-SAL-A00221","""18093"",""CVM 18093"",""SRS565302"",""WAPHL-SAL-A00221""","Enteritidis","PDT000003847.4","2015-02-11T02:07:38Z","USA","ground turkey","environmental/other","USA:CT","PDS000032668.1668",0,12,"SAMN02640784","GCA_006755225.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL-SAL-A00328","""22695"",""CVM 22695"",""SRS589808"",""WAPHL-SAL-A00328""","Enteritidis","PDT000025515.3","2015-02-11T00:08:10Z","USA","ground turkey","environmental/other","USA:MD","PDS000032329.1",0,,"SAMN02640891","GCA_004226465.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL-SAL-A00335","""22704"",""CVM 22704"",""SRS589742"",""WAPHL-SAL-A00335""","Enteritidis","PDT000025522.4","2015-02-11T00:08:09Z","USA","ground turkey","environmental/other","USA:MD","PDS000032696.6",0,27,"SAMN02640898","GCA_006690325.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL-SAL-A00336","""22705"",""CVM 22705"",""SRS589733"",""WAPHL-SAL-A00336""","Enteritidis","PDT000025523.4","2015-02-11T00:08:09Z","USA","ground turkey","environmental/other","USA:MD","PDS000032696.6",0,27,"SAMN02640899","GCA_006630565.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL-SAL-A00337","""22706"",""CVM 22706"",""SRS620734"",""WAPHL-SAL-A00337""","Enteritidis","PDT000031419.4","2015-02-10T23:09:56Z","USA","ground turkey","environmental/other","USA:MD","PDS000032696.6",0,27,"SAMN02640900","GCA_006690605.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","NY-30663","""CVM 30663"",""NY-30663"",""SRS791452""","Enteritidis","PDT000045868.4","2015-02-10T17:09:45Z","USA:MD","ground turkey","environmental/other","not provided","PDS000084711.573",20,3,"SAMN02777714","GCA_007742535.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN028525","""CFSAN028525"",""FSIS1500465"",""SRS827744""","Enteritidis","PDT000048700.3","2015-02-10T18:10:45Z","USA:NY","egg raw whole","environmental/other","USA:NY","PDS000030303.1",13,,"SAMN03285096","GCA_008028995.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN028523","""CFSAN028523"",""FSIS1500463"",""SRS827787""","Enteritidis","PDT000048727.3","2015-02-10T18:10:46Z","USA:NJ","egg raw whole","environmental/other","USA:NJ","PDS000030259.39",14,46,"SAMN03285094","GCA_008029235.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN027377","""CFSAN027377"",""FSIS1400393"",""SRS852298""","Enteritidis","PDT000049911.2","2015-02-21T16:07:27Z","USA:NJ","egg raw yolk","environmental/other","USA:NJ","PDS000032669.436",11,20,"SAMN03272213","GCA_011090645.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN027378","""CFSAN027378"",""FSIS1400394"",""SRS852326""","Enteritidis","PDT000049933.2","2015-02-21T16:07:28Z","USA:UT","egg raw whole","environmental/other","USA:UT","PDS000030292.11",28,21,"SAMN03272214","GCA_010907565.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN027389","""CFSAN027389"",""FSIS1400405"",""SRS852338""","Enteritidis","PDT000049951.2","2015-02-21T16:07:28Z","USA:IN","egg raw whole","environmental/other","USA:IN","PDS000031433.1",19,,"SAMN03272225","GCA_011090685.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN027394","""CFSAN027394"",""FSIS1400410"",""SRS852352""","Enteritidis","PDT000049960.2","2015-02-21T16:07:29Z","USA:NH","egg raw whole","environmental/other","USA:NH","PDS000030237.1646",3,1,"SAMN03272230","GCA_010884515.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN027388","""CFSAN027388"",""FSIS1400404"",""SRS852351""","Enteritidis","PDT000049963.2","2015-02-21T16:07:29Z","USA:NY","egg raw yolk","environmental/other","USA:NY","PDS000032697.22",12,16,"SAMN03272224","GCA_009997065.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030496","""CFSAN030496"",""FSIS1500702"",""SRS893747""","Enteritidis","PDT000052591.2","2015-04-06T16:09:08Z","USA:GA","egg raw yolk","environmental/other","USA:GA","PDS000030237.1646",5,5,"SAMN03435392","GCA_010885195.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030504","""CFSAN030504"",""FSIS1500710"",""SRS893746""","Enteritidis","PDT000052592.2","2015-04-06T16:09:08Z","USA:IA","egg raw yolk","environmental/other","USA:IA","PDS000030237.1646",9,13,"SAMN03435400","GCA_011093585.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030497","""CFSAN030497"",""FSIS1500703"",""SRS895851""","Enteritidis","PDT000052662.2","2015-04-07T15:09:55Z","USA:AR","egg raw whole","environmental/other","USA:AR","PDS000083226.1089",5,7,"SAMN03435393","GCA_011485965.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030503","""CFSAN030503"",""FSIS1500709"",""SRS895850""","Enteritidis","PDT000052663.2","2015-04-07T15:09:55Z","USA:AL","egg raw yolk","environmental/other","USA:AL","PDS000030237.1646",9,9,"SAMN03435399","GCA_011517465.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030809","""CFSAN030809"",""FSIS1500803"",""SRS922824""","Enteritidis","PDT000062325.2","2015-04-26T18:11:48Z","USA","egg raw whole","environmental/other","USA:NJ","PDS000030259.39",11,43,"SAMN03458401","GCA_008114585.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030816","""CFSAN030816"",""FSIS1500810"",""SRS922823""","Enteritidis","PDT000062326.2","2015-04-26T18:11:48Z","USA","egg raw yolk","environmental/other","USA:NJ","PDS000030259.39",17,22,"SAMN03458408","GCA_008114565.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030818","""CFSAN030818"",""FSIS1500812"",""SRS922822""","Enteritidis","PDT000062327.2","2015-04-26T18:11:49Z","USA","egg raw yolk","environmental/other","USA:IN",,,,"SAMN03458410","GCA_008114605.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030823","""CFSAN030823"",""FSIS1500817"",""SRS922827""","Enteritidis","PDT000062328.2","2015-04-26T18:11:49Z","USA","egg raw whole","environmental/other","USA:OH","PDS000214619.4",,33,"SAMN03458415","GCA_008114625.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030827","""CFSAN030827"",""FSIS1500821"",""SRS922826""","Enteritidis","PDT000062329.2","2015-04-26T18:11:49Z","USA","egg raw whole","environmental/other","USA:MI",,,,"SAMN03458419","GCA_008114645.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030839","""CFSAN030839"",""FSIS1500833"",""SRS922825""","Enteritidis","PDT000062330.2","2015-04-26T18:11:49Z","USA","egg raw yolk","environmental/other","USA:WA","PDS000065765.262",0,4,"SAMN03458431","GCA_008114665.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030852","""CFSAN030852"",""FSIS1500846"",""SRS922835""","Enteritidis","PDT000062337.2","2015-04-26T18:11:49Z","USA","egg raw yolk","environmental/other","USA:NY","PDS000032669.436",8,14,"SAMN03458444","GCA_008114705.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","FSIS1501012","""FSIS1501012"",""SRS963548""","Enteritidis","PDT000067279.2","2015-06-18T10:17:42Z","USA:MO","comminuted chicken","environmental/other","USA:MO","PDS000030237.1646",15,9,"SAMN03776985","GCA_008608065.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN032964","""CFSAN032964"",""FSIS1501212"",""SRS968989""","Enteritidis","PDT000068427.2","2015-06-29T13:14:40Z","USA:NY","egg raw yolk","environmental/other","USA:NY","PDS000030303.1",26,,"SAMN03649163","GCA_008609765.1","mdsA=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN032959","""CFSAN032959"",""FSIS1501207"",""SRS969008""","Enteritidis","PDT000068463.2","2015-06-29T13:14:42Z","USA:NJ","egg raw yolk","environmental/other","USA:NJ","PDS000030829.1",7,30,"SAMN03649158","GCA_008610005.1","mdsA=COMPLETE,mdsB=PARTIAL_END_OF_CONTIG","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN032968","""CFSAN032968"",""FSIS1501216"",""SRS969306""","Enteritidis","PDT000068519.2","2015-06-29T13:14:44Z","USA:MN","egg raw whole","environmental/other","USA:MN","PDS000030237.1646",13,18,"SAMN03649167","GCA_008610515.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN032967","""CFSAN032967"",""FSIS1501215"",""SRS969540""","Enteritidis","PDT000068581.2","2015-06-29T13:14:46Z","USA:TX","egg raw yolk","environmental/other","USA:TX","PDS000030259.39",16,18,"SAMN03649166","GCA_008610705.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=-:-:-,serotype=I -:-:-",
"Salmonella enterica","CFSAN030067","""CFSAN030067"",""FSIS1500596"",""SRS972554""","Enteritidis","PDT000068725.5","2018-06-26T23:03:29Z","USA:IA","egg raw yolk","environmental/other","USA:IA","PDS000030237.1646",8,16,"SAMN03464553","GCA_008542835.1","aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030097","""CFSAN030097"",""FSIS1500626"",""SRS972556""","Enteritidis","PDT000068726.4","2018-06-26T23:03:31Z","USA:IN","egg raw yolk","environmental/other","USA:IN","PDS000032697.22",12,20,"SAMN03464583","GCA_008451665.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030100","""CFSAN030100"",""FSIS1500629"",""SRS972560""","Enteritidis","PDT000068731.4","2018-06-26T23:03:29Z","USA:GA","egg raw whole","environmental/other","USA:GA","PDS000083226.1089",10,10,"SAMN03464586","GCA_008451685.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030086","""CFSAN030086"",""FSIS1500615"",""SRS972567""","Enteritidis","PDT000068739.4","2018-06-26T23:03:29Z","USA:IA","egg raw whole","environmental/other","USA:IA","PDS000030237.1646",9,14,"SAMN03464572","GCA_008542855.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030081","""CFSAN030081"",""FSIS1500610"",""SRS972594""","Enteritidis","PDT000068758.4","2018-06-26T23:03:28Z","USA:NJ","egg raw whole","environmental/other","USA:NJ","PDS000030303.1",0,,"SAMN03464567","GCA_008542775.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN034131","""CFSAN034131"",""FSIS1502013"",""SRS972592""","Enteritidis","PDT000068760.2","2015-06-30T21:13:57Z","USA:NE","egg raw yolk","environmental/other","USA:NE","PDS000030787.1",0,,"SAMN03763520","GCA_008513875.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN030066","""CFSAN030066"",""FSIS1500595"",""SRS972598""","Enteritidis","PDT000068767.4","2018-06-26T23:03:35Z","USA:NY","egg raw yolk","environmental/other","USA:NY","PDS000030303.1",1,,"SAMN03464552","GCA_008541995.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN034133","""CFSAN034133"",""FSIS1502015"",""SRS978974""","Enteritidis","PDT000069246.2","2015-07-06T13:16:28Z","USA:GA","egg raw yolk","environmental/other","USA:GA","PDS000065765.262",7,7,"SAMN03763522","GCA_008611025.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN034140","""CFSAN034140"",""FSIS1502022"",""SRS978955""","Enteritidis","PDT000069266.2","2015-07-06T13:16:29Z","USA:NE","egg raw whole","environmental/other","USA:NE","PDS000030787.1",0,,"SAMN03763529","GCA_008609985.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN034136","""CFSAN034136"",""FSIS1502018"",""SRS978949""","Enteritidis","PDT000069272.2","2015-07-06T13:16:29Z","USA:GA","egg raw whole","environmental/other","USA:GA","PDS000065765.262",6,10,"SAMN03763525","GCA_008609805.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN034151","""CFSAN034151"",""FSIS1502033"",""SRS978948""","Enteritidis","PDT000069273.2","2015-07-06T13:16:29Z","USA:GA","egg raw yolk","environmental/other","USA:GA","PDS000032669.436",8,20,"SAMN03763540","GCA_008609905.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN032958","""CFSAN032958"",""FSIS1501206"",""SRS1009412""","Enteritidis","PDT000072618.2","2015-07-23T00:14:16Z","USA:NJ","egg raw yolk","environmental/other","USA:NJ","PDS000030829.1",7,25,"SAMN03649157","GCA_008386055.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","FSIS1500515","""FSIS1500515"",""SRS1010275""","Enteritidis","PDT000072701.2","2015-07-23T22:09:14Z","USA:WA","chicken carcass","environmental/other","USA:WA","PDS000032668.1668",3,3,"SAMN03897494","GCA_008613425.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","FSIS1500514","""FSIS1500514"",""SRS1010293""","Enteritidis","PDT000072704.2","2015-07-23T22:09:14Z","USA:AR","raw intact chicken","environmental/other","USA:AR","PDS000005699.48",9,5,"SAMN03897493","GCA_008514435.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","FSIS1500980","""FSIS1500980"",""SRS1010771""","Enteritidis","PDT000072797.4","2018-06-26T23:04:08Z","USA:NY","raw intact chicken","environmental/other","USA:NY","PDS000030237.1646",0,0,"SAMN03922163","GCA_008449525.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","FSIS1500998","""FSIS1500998"",""SRS1010961""","Enteritidis","PDT000072803.2","2015-07-24T19:09:25Z","USA:SC","raw intact chicken","environmental/other","USA:SC","PDS000083226.1089",5,2,"SAMN03922765","GCA_008613585.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN035279","""CFSAN035279"",""FSIS1502678"",""SRS1025554""","Enteritidis","PDT000078760.2","2015-08-08T15:10:47Z","USA:IA","egg raw whole","environmental/other","USA:IA","PDS000030237.1646",19,20,"SAMN03838241","GCA_008614065.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN035272","""CFSAN035272"",""FSIS1502671"",""SRS1025549""","Enteritidis","PDT000078765.2","2015-08-08T15:10:47Z","USA:TX","egg raw whole","environmental/other","USA:TX","PDS000030259.39",5,10,"SAMN03838234","GCA_008614165.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN035276","""CFSAN035276"",""FSIS1502675"",""SRS1025566""","Enteritidis","PDT000078776.2","2015-08-08T15:10:47Z","USA:NY","egg raw whole","environmental/other","USA:NY","PDS000030303.1",11,,"SAMN03838238","GCA_008614945.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN034232","""CFSAN034232"",""FSIS1502166"",""SRS1029807""","Enteritidis","PDT000081212.5","2016-10-03T14:20:11Z","USA:GA","egg raw whole","environmental/other","USA:GA","PDS000032688.11",0,1,"SAMN03769252","GCA_008916605.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN032970","""CFSAN032970"",""FSIS1501218"",""SRS1029821""","Enteritidis","PDT000081229.2","2015-08-12T18:10:47Z","USA:IA","egg raw yolk","environmental/other","USA:IA","PDS000030259.39",16,22,"SAMN03649169","GCA_008615545.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN034231","""CFSAN034231"",""FSIS1502165"",""SRS1029833""","Enteritidis","PDT000081235.8","2018-06-26T23:03:54Z","USA:GA","egg raw whole","environmental/other","USA:GA","PDS000032688.11",0,1,"SAMN03769251","GCA_008499675.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN035308","""CFSAN035308"",""FSIS1502707"",""SRS1034399""","Enteritidis","PDT000081330.2","2015-08-14T15:09:54Z","USA:AL","egg raw yolk","environmental/other","USA:AL","PDS000030237.1646",9,9,"SAMN03838270","GCA_008614205.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN035309","""CFSAN035309"",""FSIS1502708"",""SRS1034421""","Enteritidis","PDT000081341.2","2015-08-14T15:09:54Z","USA:IA","egg raw yolk","environmental/other","USA:IA","PDS000030237.1646",10,13,"SAMN03838271","GCA_008614285.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
